Name;Summit_Nr;FK_Area
Pilzwand;1;1
Ratsleitenturm;2;1
Struppengrundkegel;3;1
Rhombus;4;1
Bärensteinscheibe;5;1
Bärensteinwächter;6;1
Thürmsdorfer Stein;7;1
Bärensteinwarte;8;1
Drei Bären;9;1
Bärensteinklotz;10;1
Berg-Heil-Scheibe;11;1
Bärensteinnadel;12;1
Bärensteinturm;13;1
Riegelkopf;14;1
Khan;14;1
Conradturm;15;1
Dreizack;16;1
Knöchel;17;1
Rauensteinkopf;18;1
Dreifreundestein;19;1
Khedive;20;1
Rauensteinspitze;21;1
Rauensteinturm;22;1
Panoramascheibe;23;1
Rauensteinwächter;24;1
Nonne;25;1
Laasenturm;26;1
Heini;27;1
Liliensteinwächter;28;1
Liliensteinnadel;29;1
Spanghornturm;30;1
Teichwächter;31;1
Kiefernturm;32;1
Labyrinthwächter;33;1
Schiefer Block;34;1
Pfingstnadel;35;1
Pfingstkegel;36;1
Nikolsdorfer Turm;37;1
Nikolsdorfer Nadel;38;1
Kubus;39;1
Frosch;40;1
Barriere;41;1
Vergessener Turm;42;1
Stelzchenkegel;43;1
Enkel;44;1
Quirlwächter;45;1
Dreikanter;47;1
Einsiedler;48;1
Bundesfels;49;1
Glatter Turm;50;1
Nordturm;51;1
Nordkopf;52;1
Haselmaus;53;1
Raue Zinne;54;1
Pfaffenschluchtspitze, Nördliche;55;1
Dreimännerturm;56;1
Hintere Abendwand;57;1
Abendwand;58;1
Nasse-Schlucht-Turm;59;1
Ratte;60;1
Bilch;61;1
Einsamer Ritter;62;1
Wolfswand;63;1
Pfaffenschluchtspitze, Südliche;64;1
Junggeselle;65;1
Julikopf;66;1
Berglerturm;67;1
Toter Zwerg;68;1
Buchfinkenturm;69;1
Peterskirche;70;1
Jäckelfels;71;1
Schildkröte;72;1
Hafersack;73;1
Wilder Turm;74;1
Orgelpfeifenwand;75;1
Fritschfels;76;1
Stiller Turm;77;1
Vierling;78;1
Quader;79;1
Königsspitze;80;1
Keilerturm;81;1
Förster;82;1
Pfaffenhütchen;83;1
Zwillinge;84;1
Klamotte;85;1
Muselmann;86;1
Steinerne Scheune;87;1
Abgetrennte Wand;88;1
Narrenkappe;89;1
Zwerg;90;1
Gohrischscheibe;91;1
Findling;92;1
Papst;93;1
Hunskirche, Kleine;94;1
Hunskirche, Große;95;1
Räuberhöhlenturm;96;1
Bruchwächter;98;1
Kleingießhübler Turm;98;1
Schmale Wand;99;1
Zschirnsteinwächter;100;1
Zschirnsteinwarte;101;1
Winkelblock;103;1
Rentnerturm;103;1
Wackelstein;104;1
Zschirnsteinturm, Kleiner;105;1
Zschirnsteinturm, Großer;106;1
Rotsteinkegel;107;1
Maus;108;1
Dicke Berta;109;1
Cunnersdorfer Nadel;110;1
Lampertshorn;111;1
Königstein;112;1
Lilienstein-Westecke;113;1
Großer Zschirnstein;114;1
Brausenstein;1;2
Topograph;2;2
Gnom;3;2
Waldkapelle;4;2
Bielaturm, Vorderer;5;2
Bielaturm, Hinterer;6;2
Schweizermühlenturm;7;2
Kapuziner;8;2
Zerklüftete Wand;9;2
Pumpenwärter;10;2
Herkuleskopf;11;2
Schluchtnadel;12;2
Herkuleswand;13;2
Herkulesstein, Kleiner;14;2
Herkulesstein;15;2
Herkulessohn;16;2
Herkulessäule, Kleine;17;2
Herkulessäule, Große;18;2
Schroffer Stein, Vorderer;19;2
Schroffer Stein, Hinterer;20;2
Schraubenkopf;21;2
Wegelagerer;22;2
Leichte Zacke;23;2
Schwere Zacke;24;2
Schiefe Zacke;25;2
Schiefer Turm;26;2
Hallenkopf;27;2
Hallenstein;28;2
Sonnenwendstein;29;2
Sonny;30;2
Chinesischer Turm;31;2
Mandarin;32;2
Bewachsener Fels;33;2
Trautmannsfels;34;2
Nasser Stein;35;2
Glück-Auf-Turm;36;2
Raupe;37;2
Puppe;38;2
Kanzelturm;39;2
Schildkrötenturm;40;2
Gesuchter Turm;41;2
Kuchenturm;42;2
Ringelturm;43;2
Zarathustra Junior;44;2
Zarathustra;45;2
Daxkopf;46;2
Daxenstein;47;2
Ottostein;48;2
Mühlenwächter, Großer;49;2
Mühlenwächter, Kleiner;50;2
Rosenthaler Turm;51;2
Großvaterstuhl;52;2
Waldhorn;53;2
Stumpfer Turm;54;2
Stumpfe Keule;55;2
Stumpfer Kegel;56;2
Prometheus;57;2
Fledermausturm;58;2
Siebenschläferturm;59;2
Siebenschläferkeule;60;2
Waldschratt;61;2
Felix;62;2
Felicitas;63;2
Spannagelturm;64;2
Rabenturm;65;2
Eislochturm, Kleiner;66;2
Eislochturm, Großer;67;2
Papusspitze;68;2
Troika;69;2
Waldscheibe;70;2
Sonnenturm;71;2
Turm am Wege;72;2
Unke;73;2
Pfingstturm;74;2
Morgenstern;75;2
Jupiterturm;76;2
Fichtenkegel;77;2
Bonze;78;2
Bonzenzahn;79;2
Verlassene Wand;80;2
Felsensportnadel;81;2
Wolfskopf;82;2
Versteckte Wand;83;2
Verlassene Spitze;84;2
Birkenturm;85;2
Glücksturm, Großer;86;2
Glücksturm, Kleiner;87;2
Würfel;88;2
Hilfssheriff;89;2
Sheriff;90;2
Vergessene Spitze;91;2
Sultan;92;2
Morscher Kopf;93;2
Kalif;94;2
Scheitan;95;2
Zwerg Alberich;96;2
Stiller Kegel;97;2
Bielazwerg;98;2
Gnomkönig;99;2
Troll;100;2
Dürrebielezahn;101;2
Dürrebielewächter, Vorderer;102;2
Bewachsene Spitze;103;2
Falkenturm;104;2
Falkenwand;105;2
Dürrebielewächter, Hinterer;106;2
Kiebitz;107;2
Nymphe;108;2
Gespaltener Turm;109;2
Glatter Kegel;110;2
Pfifferling;111;2
Stinkmorchel;112;2
Waldkauz;113;2
Zwei Horzel;114;2
Schildbürger;115;2
Blatt;116;2
Planspitze;117;2
Pokal;118;2
Mittelwandnadel;119;2
Mittelwand;120;2
Mittelwandscheibe;121;2
Schiefe Nadel;122;2
Schwarzbeerturm;123;2
Setzling;124;2
Nussknacker;125;2
Dürrebielenadel;126;2
Dürrebielewand;127;2
Ringelspitze;128;2
Elisabethspitze;129;2
Falkenspitze;130;2
Fraktur;131;2
Schwarze Wand;132;2
Sommerstein;133;2
Dürrebieleturm;134;2
Ameisenstein;135;2
Gralsburg, NO-Zinne;136;2
Gralsburg, SW-Zinne;137;2
Waldtorturm;138;2
Waldtornadel, Nördliche;139;2
Turm der Felsenbrüder;140;2
Waldtornadel, Südliche;141;2
Hansenstein;142;2
Akropolis;143;2
Archimedes;144;2
Praxedis;145;2
Euklid;146;2
Perikles;147;2
Sokrates;148;2
Xerxes;149;2
Grenzwegwächter;150;2
Waldpfeiler;151;2
Grenzturm, Kleiner;152;2
Grenzkegel;153;2
Grenznadel;154;2
Grenzturm, Großer;155;2
Einsame Nadel;156;2
Titan;157;2
Goliath;158;2
David;159;2
Cima;160;2
Castello;161;2
Burgener Turm;162;2
Adam und Eva;163;2
Falkennadel;164;2
Adlerkopf;165;2
Wachsamer Förster;166;2
Kastenturm;167;2
Waldkegel;168;2
Liebespaar, Südturm;169;2
Liebespaar, Nordturm;170;2
Liebesknochen;171;2
Schneespitze;172;2
Schneewand;173;2
Bielascheibe;174;2
Waldnadel;175;2
Osterkegel;176;2
Bielazinne;177;2
Herbstturm;178;2
Grüne Zinne;179;2
Herbstspitze;180;2
Grauer Turm;181;2
Waldturm;182;2
Juliturm;183;2
Schwarzmühlenspitze;184;2
Schwarzmühlenwächter;185;2
Kubulus;186;2
Arnsteiner Turm;187;2
Harmonienadel;188;2
Rumpelstilz;189;2
Harmoniekopf;190;2
Zinne, Kleine;191;2
Zinne, Große;192;2
Zinne, Südwestliche;193;2
Pagode;194;2
Mäuseturm;195;2
Glasergrundwand;196;2
Glasergrundwarte;197;2
Glatte Keule;198;2
Krallenturm;199;2
Glasergrundnadel;200;2
Wilde Zacke;201;2
Lochsteinwächter;202;2
Lochstein;203;2
Unbenannter Turm;204;2
Glasergrundwächter;205;2
Adlerstein;206;2
Himmelfahrtsturm;207;2
Bär;208;2
Wigwam;209;2
